ID,FormRE,Area,Height,Width,Direction,RoadInFront,Juridical,NumOfBed,Terrace,CarParking,DinningRoom,Kitchen,Price
235,"Đất thổ cư, đất ở",,20.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,3600000000.0
236,"Đất nền, đất liền kề, đất dự án",,17.0,6.0,,,,,,,,,4590000000.0
237,"Nhà, ngõ, hẻm",,10.7,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1672000000.0
238,"Nhà, ngõ, hẻm",,10.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,2.0,,,,,3600000000.0
239,"Nhà, ngõ, hẻm",,12.7,4.7,,,Số đỏ/ Sổ hồng,1.0,,,,,1100000000.0
240,"Biệt thự, nhà liền kề",,16.0,4.5,Tây,,Số đỏ/ Sổ hồng,2.0,,,,,1720000000.0
241,"Đất thổ cư, đất ở",,100.0,100.0,,,,,,,,,12000000000.0
242,"Đất thổ cư, đất ở",,14.0,10.0,,,,,,,,,1599000000.0
243,"Đất thổ cư, đất ở",,166.0,888.0,Tây Bắc,,,,,,,,5600000000.0
244,"Đất thổ cư, đất ở",,27.5,4.0,,,Số đỏ/ Sổ hồng,,,,,,117000000.0
245,"Nhà, ngõ, hẻm",,15.0,4.1,,,Số đỏ/ Sổ hồng,2.0,,,,,6350000000.0
246,"Đất thổ cư, đất ở",,95.0,17.5,Đông,,Số đỏ/ Sổ hồng,,,,,,1400000000.0
247,"Nhà mặt phố, nhà mặt tiền",,14.0,5.0,,,Số đỏ/ Sổ hồng,4.0,,,,,2570000000.0
248,"Nhà, ngõ, hẻm",,20.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3900000000.0
249,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,5550000000.0
250,"Đất thổ cư, đất ở",,20.6,6.35,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,24000000000.0
251,"Đất thổ cư, đất ở",,20.0,5.0,Đông,,Số đỏ/ Sổ hồng,,,,,,480000.0
252,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3660000000.0
253,"Đất thổ cư, đất ở",,21.0,32.0,,,Số đỏ/ Sổ hồng,,,,,,950000000.0
254,"Đất thổ cư, đất ở",,16.0,4.0,,,,,,,,,410000000.0
255,"Đất thổ cư, đất ở",,18.5,4.5,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,4990000000.0
256,"Nhà mặt phố, nhà mặt tiền",,5.0,3.0,,,Số đỏ/ Sổ hồng,1.0,,,,,2900000000.0
257,"Nhà, ngõ, hẻm",,21.0,5.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3200000000.0
258,"Nhà mặt phố, nhà mặt tiền",,20.0,5.0,Bắc,,Số đỏ/ Sổ hồng,5.0,,,,,16000000000.0
259,"Nhà, ngõ, hẻm",,18.0,4.0,,,Giấy tờ hợp lệ,2.0,,,,,1850000000.0
260,"Nhà mặt phố, nhà mặt tiền",,23.0,6.0,,,,5.0,,,,,8900000000.0
261,"Nhà, ngõ, hẻm",,10.0,3.5,,,,4.0,,,,,3250000000.0
262,"Nhà, ngõ, hẻm",,19.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2950000000.0
263,"Nhà, ngõ, hẻm",,6.0,6.0,Tây,,,2.0,,,,,3000000000.0
264,"Nhà, ngõ, hẻm",,20.0,4.5,Tây Nam,,Số đỏ/ Sổ hồng,2.0,,,,,1280000000.0
265,"Nhà, ngõ, hẻm",,9.0,3.0,Đông Nam,,Số đỏ/ Sổ hồng,3.0,,,,,2900000000.0
266,"Biệt thự, nhà liền kề",,12.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,7400000000.0
267,"Nhà mặt phố, nhà mặt tiền",,35.0,11.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,11500000000.0
268,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,465000000.0
269,"Nhà, ngõ, hẻm",,24.0,32.0,,,Số đỏ/ Sổ hồng,6.0,,,,,6500000000.0
270,"Đất nông, công, lâm nghiệp",,50.0,40.0,,,Số đỏ/ Sổ hồng,,,,,,11500000000.0
271,"Nhà, ngõ, hẻm",,10.6,3.64,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,4150000000.0
272,"Nhà mặt phố, nhà mặt tiền",,33.3,18.0,,,Số đỏ/ Sổ hồng,6.0,,,,,12000000000.0
273,"Nhà mặt phố, nhà mặt tiền",,10.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,720000000.0
274,"Đất thổ cư, đất ở",,12.5,5.0,Tây,,Số đỏ/ Sổ hồng,,,,,,2490000000.0
275,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,,,,,,,,,4500003210.0
276,"Nhà mặt phố, nhà mặt tiền",,20.0,3.5,,,,3.0,,,,,4200000000.0
277,"Nhà, ngõ, hẻm",,12.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,2550000000.0
278,"Nhà mặt phố, nhà mặt tiền",,15.5,4.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,4600000000.0
279,"Nhà, ngõ, hẻm",,6.0,4.5,,,Số đỏ/ Sổ hồng,2.0,,,,,2300000000.0
280,"Nhà, ngõ, hẻm",,18.4,5.0,,,Số đỏ/ Sổ hồng,2.0,,,,,4600000000.0
281,"Nhà, ngõ, hẻm",,12.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,2680000000.0
282,"Nhà mặt phố, nhà mặt tiền",,26.0,6.0,Tây Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,1100000000.0
283,"Đất thổ cư, đất ở",,60.0,29.0,,,Số đỏ/ Sổ hồng,,,,,,16000000000.0
284,"Đất thổ cư, đất ở",,47.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,1580000000.0
285,"Nhà, ngõ, hẻm",,28.0,6.0,Tây,,Số đỏ/ Sổ hồng,1.0,,,,,1050000000.0
286,"Nhà, ngõ, hẻm",,8.0,34.0,,,Số đỏ/ Sổ hồng,4.0,,,,,230000000.0
287,"Nhà, ngõ, hẻm",,10.0,3.5,,,,4.0,,,,,3650000000.0
288,"Nhà, ngõ, hẻm",,14.0,3.5,,,Số đỏ/ Sổ hồng,6.0,,,,,8300000000.0
289,"Nhà, ngõ, hẻm",,11.0,5.0,Đông,,Số đỏ/ Sổ hồng,1.0,,,,,2800000000.0
290,"Nhà, ngõ, hẻm",,5.0,22.0,,,Số đỏ/ Sổ hồng,6.0,,,,,24000000000.0
291,"Nhà mặt phố, nhà mặt tiền",,12.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,820000000.0
292,"Nhà, ngõ, hẻm",,22.0,12.0,,,Số đỏ/ Sổ hồng,5.0,,,,,21900000000.0
293,"Nhà, ngõ, hẻm",,21.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,4950000000.0
294,"Nhà mặt phố, nhà mặt tiền",,16.0,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,4.0,,,,,5800000000.0
295,"Nhà, ngõ, hẻm",,11.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1865000000.0
296,"Nhà, ngõ, hẻm",,13.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1850000000.0
297,"Đất thổ cư, đất ở",,22.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,900000000.0
298,"Nhà, ngõ, hẻm",,14.0,4.0,,,Số đỏ/ Sổ hồng,6.0,,,,,14500000000.0
299,"Đất thổ cư, đất ở",,13.5,11.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,850000000.0
300,"Đất thổ cư, đất ở",,19.15,12.8,,,Số đỏ/ Sổ hồng,,,,,,10902500000.0
301,"Nhà, ngõ, hẻm",,9.0,3.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1190000000.0
302,"Đất thổ cư, đất ở",,18.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,2100000000.0
303,"Đất nông, công, lâm nghiệp",,100.0,200.0,Tây,,Số đỏ/ Sổ hồng,,,,,,1000000000.0
304,"Nhà mặt phố, nhà mặt tiền",,20.0,4.0,Đông,,Số đỏ/ Sổ hồng,4.0,,,,,15500000000.0
305,"Đất thổ cư, đất ở",,16.5,5.5,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,3500000000.0
306,"Đất thổ cư, đất ở",,15.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,1820000000.0
307,"Nhà mặt phố, nhà mặt tiền",,30.0,5.0,Tây,,Số đỏ/ Sổ hồng,4.0,,,,,6700000000.0
308,"Nhà, ngõ, hẻm",,16.0,5.0,Tây,,Số đỏ/ Sổ hồng,2.0,,,,,2250000000.0
309,"Nhà, ngõ, hẻm",,12.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1560000000.0
310,"Nhà mặt phố, nhà mặt tiền",,22.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3610000000.0
311,"Đất thổ cư, đất ở",,30.0,5.0,,,,,,,,,1500000000.0
312,"Đất nền, đất liền kề, đất dự án",,16.0,7.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,702000000.0
313,"Đất nền, đất liền kề, đất dự án",,20.0,7.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,1470000000.0
314,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,2176300000.0
315,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,Nam,,,,,,,,2500000000.0
316,"Nhà, ngõ, hẻm",,16.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,5500000000.0
317,"Đất nền, đất liền kề, đất dự án",,20.0,12.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,900000000.0
318,"Đất thổ cư, đất ở",,25.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,2200000000.0
319,"Nhà, ngõ, hẻm",,10.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,1.0,,,,,2450000000.0
320,"Nhà, ngõ, hẻm",,8.0,5.0,,,Số đỏ/ Sổ hồng,4.0,,,,,5600000000.0
321,"Nhà, ngõ, hẻm",,17.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,5500000000.0
322,"Nhà mặt phố, nhà mặt tiền",,19.0,5.0,,,Số đỏ/ Sổ hồng,4.0,,,,,2000000000.0
323,"Nhà, ngõ, hẻm",,7.0,3.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3000000000.0
324,"Đất thổ cư, đất ở",,24.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,1550000000.0
325,"Nhà, ngõ, hẻm",,25.0,5.0,Đông Nam,,,3.0,,,,,2450000000.0
326,"Biệt thự, nhà liền kề",,20.0,6.0,,,Số đỏ/ Sổ hồng,4.0,,,,,16500000000.0
327,"Nhà mặt phố, nhà mặt tiền",,24.0,9.0,Đông Bắc,,Số đỏ/ Sổ hồng,5.0,,,,,17000000000.0
328,"Nhà, ngõ, hẻm",,7.0,4.0,,,,2.0,,,,,1150000000.0
329,"Nhà mặt phố, nhà mặt tiền",,16.5,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,5500000000.0
330,"Biệt thự, nhà liền kề",,20.0,15.0,,,Số đỏ/ Sổ hồng,3.0,,,,,6000000000.0
331,"Đất thổ cư, đất ở",,15.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,595000000.0
332,"Nhà, ngõ, hẻm",,4.0,4.0,,,,1.0,,,,,580000000.0
333,"Nhà, ngõ, hẻm",,4.0,25.0,,,Số đỏ/ Sổ hồng,1.0,,,,,1030000000.0
334,"Đất thổ cư, đất ở",,29.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,2800000000.0
335,"Đất nông, công, lâm nghiệp",,24.0,10.0,Bắc,,Số đỏ/ Sổ hồng,,,,,,4300000000.0
336,"Đất thổ cư, đất ở",,8.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,2300000000.0
337,"Nhà, ngõ, hẻm",,12.0,5.0,,,Số đỏ/ Sổ hồng,6.0,,,,,15000000000.0
338,"Nhà, ngõ, hẻm",,9.0,3.5,,,Số đỏ/ Sổ hồng,2.0,,,,,2550000000.0
339,"Đất thổ cư, đất ở",,20.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,2000000000.0
340,"Nhà mặt phố, nhà mặt tiền",,26.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3550000000.0
341,"Nhà, ngõ, hẻm",,16.0,4.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,2250000000.0
342,"Nhà mặt phố, nhà mặt tiền",,13.0,3.5,,,Số đỏ/ Sổ hồng,4.0,,,,,8750000000.0
343,"Nhà, ngõ, hẻm",,13.0,6.5,,,Số đỏ/ Sổ hồng,2.0,,,,,4350000000.0
344,"Đất thổ cư, đất ở",,22.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,630000000.0
345,"Đất thổ cư, đất ở",,13.3,4.7,,,Số đỏ/ Sổ hồng,,,,,,1890000000.0
346,"Đất thổ cư, đất ở",,19.6,10.3,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,2340000000.0
347,"Nhà, ngõ, hẻm",,64.0,21.0,Nam,,Số đỏ/ Sổ hồng,1.0,,,,,1170000000.0
348,"Đất thổ cư, đất ở",,17.0,5.0,Bắc,,Số đỏ/ Sổ hồng,,,,,,688000000.0
349,"Nhà, ngõ, hẻm",,7.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,1658000000.0
350,"Đất thổ cư, đất ở",,25.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,599000000.0
351,"Đất thổ cư, đất ở",,15.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,4250000000.0
352,"Đất thổ cư, đất ở",,16.82,5.0,,,Số đỏ/ Sổ hồng,,,,,,12040000000.0
353,"Nhà mặt phố, nhà mặt tiền",,16.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2100000000.0
354,"Đất thổ cư, đất ở",,28.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,4600000000.0
355,"Nhà, ngõ, hẻm",,10.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,4050000000.0
356,"Biệt thự, nhà liền kề",,20.0,4.5,,,,1.0,,,,,9050000000.0
357,"Đất thổ cư, đất ở",,40.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,3000000000.0
358,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3600000000.0
359,"Đất thổ cư, đất ở",,20.0,5.0,Tây Bắc,,,,,,,,1600000000.0
360,"Nhà, ngõ, hẻm",,12.0,4.0,,,Số đỏ/ Sổ hồng,6.0,,,,,6300000000.0
361,"Đất thổ cư, đất ở",,11.2,4.7,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,3100000000.0
362,"Nhà, ngõ, hẻm",,16.0,3.5,Tây Nam,,Số đỏ/ Sổ hồng,3.0,,,,,1930000000.0
363,"Nhà, ngõ, hẻm",,8.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,1.0,,,,,4000000000.0
364,"Đất thổ cư, đất ở",,15.0,5.0,Bắc,,Số đỏ/ Sổ hồng,,,,,,1750000000.0
365,"Nhà, ngõ, hẻm",,6.5,3.7,Đông Nam,,Số đỏ/ Sổ hồng,3.0,,,,,3950000000.0
366,"Nhà mặt phố, nhà mặt tiền",,17.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,1700000000.0
367,"Nhà, ngõ, hẻm",,13.11,3.73,Đông Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,2150000000.0
368,"Đất thổ cư, đất ở",,20.0,5.0,Nam,,Số đỏ/ Sổ hồng,,,,,,3550000000.0
369,"Nhà, ngõ, hẻm",,20.0,5.0,,,Số đỏ/ Sổ hồng,5.0,,,,,3550000000.0
370,"Nhà, ngõ, hẻm",,12.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,5460000000.0
371,"Đất thổ cư, đất ở",,22.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,6500000000.0
372,"Nhà mặt phố, nhà mặt tiền",,26.0,10.0,Tây Nam,,Số đỏ/ Sổ hồng,2.0,,,,,6800000000.0
373,"Đất thổ cư, đất ở",,30.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,1666666666.0
374,"Nhà mặt phố, nhà mặt tiền",,20.0,5.0,,,Số đỏ/ Sổ hồng,4.0,,,,,1250000000.0
375,"Nhà mặt phố, nhà mặt tiền",,20.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,4.0,,,,,10500000000.0
376,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,2465000000.0
377,"Đất thổ cư, đất ở",,28.2,5.0,,,Số đỏ/ Sổ hồng,,,,,,1150000000.0
378,"Đất nông, công, lâm nghiệp",,3000.0,100.0,,,,,,,,,5000000000.0
379,"Nhà, ngõ, hẻm",,8.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,2700000000.0
380,"Nhà, ngõ, hẻm",,15.0,4.1,,,Số đỏ/ Sổ hồng,4.0,,,,,5600000000.0
381,"Đất nông, công, lâm nghiệp",,72.0,17.0,,,Số đỏ/ Sổ hồng,,,,,,430000000.0
382,"Nhà mặt phố, nhà mặt tiền",,39.0,5.0,Tây,,Số đỏ/ Sổ hồng,1.0,,,,,1500000000.0
383,"Đất nông, công, lâm nghiệp",,50.0,50.0,Nam,,Số đỏ/ Sổ hồng,,,,,,1700000.0
384,"Đất nông, công, lâm nghiệp",,28.0,39.0,Đông,,Số đỏ/ Sổ hồng,,,,,,4200000000.0
385,"Nhà, ngõ, hẻm",,10.0,4.5,,,Số đỏ/ Sổ hồng,2.0,,,,,3450000000.0
386,"Biệt thự, nhà liền kề",,23.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,1250000000.0
387,"Đất thổ cư, đất ở",,18.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,4300000000.0
388,"Nhà, ngõ, hẻm",,14.0,4.5,,,Số đỏ/ Sổ hồng,2.0,,,,,1210000000.0
389,"Đất thổ cư, đất ở",,23.0,5.0,Đông,,Số đỏ/ Sổ hồng,,,,,,450000000.0
390,"Nhà mặt phố, nhà mặt tiền",,27.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,3.0,,,,,18500000000.0
391,"Nhà, ngõ, hẻm",,12.0,6.0,,,Số đỏ/ Sổ hồng,2.0,,,,,4300000000.0
392,"Đất thổ cư, đất ở",,20.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1749000000.0
393,"Nhà, ngõ, hẻm",,7.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2300000000.0
394,"Nhà, ngõ, hẻm",,10.0,3.6,Tây,,Số đỏ/ Sổ hồng,3.0,,,,,8200000000.0
395,"Đất thổ cư, đất ở",,13.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,1300000008.0
396,"Nhà, ngõ, hẻm",,10.0,5.0,Nam,,,3.0,,,,,2480000000.0
397,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,998000000.0
398,"Nhà, ngõ, hẻm",,7.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,4.0,,,,,3800000000.0
399,"Nhà mặt phố, nhà mặt tiền",,16.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,2.0,,,,,3500000000.0
400,"Nhà, ngõ, hẻm",,11.0,8.0,Đông Nam,,,5.0,,,,,6400000000.0
401,"Nhà mặt phố, nhà mặt tiền",,12.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,635000000.0
402,"Đất thổ cư, đất ở",,20.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,1800000000.0
403,"Nhà, ngõ, hẻm",,10.0,6.0,Đông Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,8100000000.0
404,"Biệt thự, nhà liền kề",,27.0,4.0,Tây,,Số đỏ/ Sổ hồng,6.0,,,,,10000000000.0
405,"Nhà mặt phố, nhà mặt tiền",,22.0,5.0,Tây,,Số đỏ/ Sổ hồng,6.0,,,,,19999000000.0
406,"Nhà mặt phố, nhà mặt tiền",,17.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,3.0,,,,,4600000000.0
407,"Nhà, ngõ, hẻm",,10.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,2450000000.0
408,"Nhà, ngõ, hẻm",,16.0,5.0,Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,5150000000.0
409,"Nhà, ngõ, hẻm",,11.0,3.33,Đông,,Số đỏ/ Sổ hồng,1.0,,,,,2250000000.0
410,"Đất thổ cư, đất ở",,39.0,15.0,,,Số đỏ/ Sổ hồng,,,,,,22500000000.0
411,"Đất thổ cư, đất ở",,18.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1800000000.0
412,"Nhà, ngõ, hẻm",,11.0,3.9,,,Số đỏ/ Sổ hồng,4.0,,,,,4850000000.0
413,"Nhà mặt phố, nhà mặt tiền",,16.5,5.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,4850000000.0
414,"Đất nền, đất liền kề, đất dự án",,20.0,6.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,3200000000.0
415,"Đất thổ cư, đất ở",,10.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,4100000000.0
416,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,,,,,,,,,900000000.0
417,"Đất thổ cư, đất ở",,47.0,8.0,,,,,,,,,1030000000.0
418,"Đất thổ cư, đất ở",,20.0,6.0,Đông,,Số đỏ/ Sổ hồng,,,,,,1000000000.0
419,"Đất thổ cư, đất ở",,68.0,19.0,,,Số đỏ/ Sổ hồng,,,,,,1100000000.0
420,"Nhà, ngõ, hẻm",,15.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,5900000000.0
421,"Nhà mặt phố, nhà mặt tiền",,20.0,6.0,,,Số đỏ/ Sổ hồng,2.0,,,,,13000000000.0
422,"Biệt thự, nhà liền kề",,12.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,3550000000.0
423,"Đất thổ cư, đất ở",,19.0,7.0,,,Số đỏ/ Sổ hồng,,,,,,4000000000.0
424,"Nhà, ngõ, hẻm",,28.0,5.5,,,Số đỏ/ Sổ hồng,4.0,,,,,5500000000.0
425,"Đất thổ cư, đất ở",,20.0,5.0,Bắc,,Số đỏ/ Sổ hồng,,,,,,2680000000.0
426,"Đất thổ cư, đất ở",,52.0,35.0,,,Số đỏ/ Sổ hồng,,,,,,12000000000.0
427,"Đất nền, đất liền kề, đất dự án",,25.0,5.0,Tây Bắc,,,,,,,,1900000000.0
428,"Nhà, ngõ, hẻm",,7.0,5.5,,,Số đỏ/ Sổ hồng,3.0,,,,,2700000000.0
429,"Đất thổ cư, đất ở",,40.0,35.0,,,Số đỏ/ Sổ hồng,,,,,,40000000000.0
430,"Nhà, ngõ, hẻm",,13.0,4.0,Đông,,Số đỏ/ Sổ hồng,4.0,,,,,7000000000.0
431,"Đất nông, công, lâm nghiệp",,17.0,5.0,,,Giấy tờ hợp lệ,,,,,,1200000000.0
432,"Đất nông, công, lâm nghiệp",,24.0,5.0,Tây,,Giấy tờ hợp lệ,,,,,,250000000.0
433,"Đất thổ cư, đất ở",,17.0,5.0,Tây,,Số đỏ/ Sổ hồng,,,,,,1680000000.0
434,"Đất thổ cư, đất ở",,23.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,2350000000.0
435,"Nhà mặt phố, nhà mặt tiền",,15.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3300000000.0
436,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1100000000.0
437,"Nhà, ngõ, hẻm",,7.0,3.0,Đông Nam,,Số đỏ/ Sổ hồng,2.0,,,,,2300000000.0
438,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,350000000.0
439,"Nhà, ngõ, hẻm",,12.0,4.0,Tây,,Số đỏ/ Sổ hồng,2.0,,,,,3750000000.0
440,"Đất thổ cư, đất ở",,12.0,4.3,,,Số đỏ/ Sổ hồng,,,,,,3380000000.0
441,"Biệt thự, nhà liền kề",,15.0,6.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,6499000000.0
442,"Nhà mặt phố, nhà mặt tiền",,25.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,5.0,,,,,10000000000.0
443,"Đất thổ cư, đất ở",,8.18,6.48,Nam,,,,,,,,540000000.0
444,"Nhà, ngõ, hẻm",,18.0,5.0,,,Số đỏ/ Sổ hồng,2.0,,,,,6750000000.0
445,"Nhà, ngõ, hẻm",,14.2,3.0,Nam,,Số đỏ/ Sổ hồng,2.0,,,,,3300000000.0
446,"Đất thổ cư, đất ở",,18.0,6.0,Nam,,Số đỏ/ Sổ hồng,,,,,,1320000000.0
447,"Nhà, ngõ, hẻm",,13.0,3.5,,,Số đỏ/ Sổ hồng,2.0,,,,,2980000000.0
448,"Đất thổ cư, đất ở",,20.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,3900000000.0
449,"Đất nông, công, lâm nghiệp",,170.0,100.0,,,Số đỏ/ Sổ hồng,,,,,,1622000000.0
450,"Đất thổ cư, đất ở",,16.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1150000000.0
451,"Nhà mặt phố, nhà mặt tiền",,12.85,2.85,Tây,,Số đỏ/ Sổ hồng,6.0,,,,,6000000000.0
452,"Đất thổ cư, đất ở",,24.0,5.0,Đông,,Số đỏ/ Sổ hồng,,,,,,80000000.0
453,"Nhà mặt phố, nhà mặt tiền",,12.0,6.0,Bắc,,Số đỏ/ Sổ hồng,4.0,,,,,12500000000.0
454,"Nhà, ngõ, hẻm",,14.25,5.6,,,Số đỏ/ Sổ hồng,2.0,,,,,4800000000.0
455,"Nhà, ngõ, hẻm",,7.3,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3300000000.0
456,"Đất nông, công, lâm nghiệp",,60.0,130.0,,,Số đỏ/ Sổ hồng,,,,,,15600000000.0
457,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,4650000000.0
458,"Biệt thự, nhà liền kề",,11.0,6.3,Đông Nam,,Số đỏ/ Sổ hồng,5.0,,,,,3650000000.0
459,"Đất thổ cư, đất ở",,18.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,2150000000.0
460,"Đất thổ cư, đất ở",,30.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,4100000000.0
461,"Đất thổ cư, đất ở",,11.0,11.0,,,Giấy tờ hợp lệ,,,,,,1500000000.0
462,"Nhà, ngõ, hẻm",,13.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,4900000000.0
463,"Nhà, ngõ, hẻm",,10.0,5.0,,,Số đỏ/ Sổ hồng,1.0,,,,,1480000000.0
464,"Nhà, ngõ, hẻm",,7.19,3.05,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,3500000000.0
465,"Biệt thự, nhà liền kề",,17.0,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,4.0,,,,,5200000000.0
466,"Nhà mặt phố, nhà mặt tiền",,20.9,4.5,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,6190000000.0
