ID,FormRE,Province,FloorNum,Area,Height,Width,UsableArea,FrontLength,BackSideLength,Direction,BalconyDirection,Corner,RoadInFront,Juridical,NumOfBed,NumOfFloor,NumOfToilet,ConstructionYear,IsOwner,Furniture,Terrace,CarParking,DinningRoom,Kitchen,AirCond,ADSL,WashingMachine,Balcony,Fridge,Wifi,Pool,Basement,Park,SuperMarket,Clinics,Sea,Hospital,Church,BusStation,School,Temple,Airport,Preschool,Characteristics,Price
75,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,16.0,3.0,59.0,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,5600000000.0
76,"Đất thổ cư, đất ở",Bình Phước,nan,nan,45.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,570000000.0
77,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,19.0,6.0,19.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,11000000000.0
78,"Đất nông, công, lâm nghiệp",Tp Hồ Chí Minh,nan,nan,250.0,200.0,nan,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,15000000000.0
79,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,15.8,5.1,nan,nan,nan,Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,4300000000.0
80,"Biệt thự, nhà liền kề",Tp Hồ Chí Minh,nan,nan,18.0,7.0,437.0,nan,nan,Tây Nam,nan,nan,nan,Giấy tờ hợp lệ,5.0,5.0,5.0,nan,nan,Bàn giao thô,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,17400000000.0
81,"Đất thổ cư, đất ở",Vĩnh Long,nan,nan,16.0,6.0,nan,nan,nan,Đông Nam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1900000000.0
82,"Nhà mặt phố, nhà mặt tiền",Cần Thơ,nan,nan,24.0,5.0,252.0,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6700000000.0
83,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,22.0,6.0,700.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,10.0,6.0,nan,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,42000000000.0
84,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,8.3,3.1,84.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,5300000000.0
85,"Nhà mặt phố, nhà mặt tiền",Đà Nẵng,nan,nan,13.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3150000000.0
86,"Đất thổ cư, đất ở",Bình Dương,nan,nan,1.0,6.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,28000000000.0
87,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,30.0,6.0,nan,nan,nan,nan,nan,nan,nan,Giấy tờ hợp lệ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,700000.0
88,"Nhà mặt phố, nhà mặt tiền",Bắc Ninh,nan,nan,10.0,9.8,98.0,nan,nan,Bắc,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2380000000.0
89,"Biệt thự, nhà liền kề",Tp Hồ Chí Minh,nan,nan,20.0,6.0,120.0,nan,nan,Tây Bắc,nan,nan,nan,nan,5.0,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1250000000.0
90,"Đất thổ cư, đất ở",Vĩnh Long,nan,nan,15.0,6.0,nan,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,3200000000.0
91,"Nhà mặt phố, nhà mặt tiền",Khánh Hòa,nan,nan,19.0,8.0,128.0,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1279000000.0
92,"Đất thổ cư, đất ở",Bình Phước,nan,nan,17.5,5.0,nan,nan,nan,Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,12000000.0
93,"Đất thổ cư, đất ở",Vĩnh Phúc,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1570000000.0
94,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.0,4.5,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,4100000000.0
95,"Đất thổ cư, đất ở",Hà Nội,nan,nan,11.5,4.3,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1100000000.0
96,"Đất thổ cư, đất ở",Bình Dương,nan,nan,150.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,850000000.0
97,"Đất thổ cư, đất ở",Bình Dương,nan,nan,20.0,5.0,nan,nan,nan,Đông,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,800000000.0
98,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,6.0,4.0,96.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3500000000.0
99,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,25.0,5.07,nan,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2300000000.0
100,"Đất nền, đất liền kề, đất dự án",Đồng Nai,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,1200000000.0
101,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,14.0,4.0,112.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,2.0,2.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,2870000000.0
102,"Đất thổ cư, đất ở",Hà Nội,nan,nan,38.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2000000000.0
103,"Biệt thự, nhà liền kề",Tp Hồ Chí Minh,nan,nan,16.0,4.0,65.0,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,4.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4700000000.0
104,"Đất thổ cư, đất ở",Cần Thơ,nan,nan,20.0,4.0,nan,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,3350000000.0
105,"Đất thổ cư, đất ở",Tây Ninh,nan,nan,30.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,390000000.0
106,"Đất thổ cư, đất ở",Khánh Hòa,nan,nan,71.0,17.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1600000000.0
107,"Đất nông, công, lâm nghiệp",Bà Rịa - Vũng Tàu,nan,nan,40.0,71.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,4500000.0
108,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,10.0,5.0,48.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,2.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1470000000.0
109,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,40.0,6.0,200.0,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,7000000000.0
110,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,10.6,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,3800000000.0
111,"Đất nông, công, lâm nghiệp",Long An,nan,nan,36.5,36.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,620000000.0
112,"Đất thổ cư, đất ở",Bình Phước,nan,nan,33.0,6.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,670000000.0
113,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,12.0,4.0,50.0,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,2.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,4100000000.0
114,"Đất thổ cư, đất ở",Đà Nẵng,nan,nan,20.0,5.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4250000000.0
115,"Nhà mặt phố, nhà mặt tiền",Hà Nội,nan,nan,9.0,4.0,nan,nan,nan,Nam,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,4.0,3.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,2850000000.0
116,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,17.0,5.0,80.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2400000000.0
117,"Đất thổ cư, đất ở",Hà Nội,nan,nan,16.0,3.0,nan,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1600000000.0
118,"Nhà mặt phố, nhà mặt tiền",Đà Nẵng,nan,nan,22.9,5.0,300.0,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,10.0,nan,nan,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12000000000.0
119,"Đất thổ cư, đất ở",Đà Nẵng,nan,nan,20.0,5.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,2550000000.0
120,"Biệt thự, nhà liền kề",Bắc Ninh,nan,nan,12.0,8.0,190.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,5.0,nan,4.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1600000000.0
121,"Đất nền, đất liền kề, đất dự án",Bà Rịa - Vũng Tàu,nan,nan,18.0,7.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1600000000.0
122,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,12.0,3.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,3.0,4.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6000000000.0
123,"Đất thổ cư, đất ở",Thừa Thiên Huế,nan,nan,17.0,6.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,450000000.0
124,"Đất thổ cư, đất ở",Đắk Lắk,nan,nan,50.0,24.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,2000000000.0
125,"Biệt thự, nhà liền kề",Hà Nội,nan,nan,13.0,5.0,70.0,nan,nan,Đông Bắc,nan,nan,nan,nan,4.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15000000000.0
126,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,16.0,4.0,115.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,2.0,3.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,3500000000.0
127,"Đất thổ cư, đất ở",Thừa Thiên Huế,nan,nan,29.0,6.0,nan,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,2495000000.0
128,"Nhà mặt phố, nhà mặt tiền",Hà Nội,nan,nan,15.0,4.0,60.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6350000000.0
129,"Đất thổ cư, đất ở",Đồng Nai,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,600000000.0
130,"Đất nông, công, lâm nghiệp",Tp Hồ Chí Minh,nan,nan,200.0,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,9200000000.0
131,"Đất thổ cư, đất ở",Cần Thơ,nan,nan,18.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1000000000.0
132,"Đất thổ cư, đất ở",Đà Nẵng,nan,nan,22.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,1900000000.0
133,"Đất thổ cư, đất ở",Phú Thọ,nan,nan,30.0,10.0,nan,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,280000000.0
134,"Đất nền, đất liền kề, đất dự án",Thừa Thiên Huế,nan,nan,16.0,7.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,3525000000.0
135,"Đất thổ cư, đất ở",Trà Vinh,nan,nan,74.0,27.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7050000000.0
136,"Đất thổ cư, đất ở",Hà Nội,nan,nan,12.0,15.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,12000000.0
137,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,8.0,4.0,50.4,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,1.0,2.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,3550000000.0
138,"Biệt thự, nhà liền kề",Lâm Đồng,nan,nan,31.0,5.0,600.0,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,9.0,3.0,6.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,7900000000.0
139,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,9.0,4.0,39.0,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,2480000000.0
140,"Đất thổ cư, đất ở",Phú Thọ,nan,nan,30.0,10.0,nan,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,280000000.0
141,"Đất thổ cư, đất ở",Bình Dương,nan,nan,100.0,22.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,700000000.0
142,"Nhà mặt phố, nhà mặt tiền",Tiền Giang,nan,nan,27.0,3.8,96.0,nan,nan,Nam,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,3500000000.0
143,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,17.0,5.9,320.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,6.0,5.0,6.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,21000000000.0
144,"Nhà mặt phố, nhà mặt tiền",Đồng Nai,nan,nan,20.0,5.0,139.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3750000000.0
145,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,35.0,4.7,172.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,1.0,nan,nan,Bàn giao thô,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15000000000.0
146,"Biệt thự, nhà liền kề",Bà Rịa - Vũng Tàu,nan,nan,17.0,13.0,96.0,nan,nan,Đông Nam,nan,nan,nan,nan,4.0,3.0,5.0,nan,nan,Bàn giao thô,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,13586000000.0
147,"Đất thổ cư, đất ở",Bình Dương,nan,nan,70.0,330.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,59500000000.0
148,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,14.5,3.8,53.4,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,4900000000.0
